Contract Name,Last Trade Date (EST),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AAPL260211P00252500   ,2/10/2026  1:57 PM ,252.5   ,0.01 ,0.01 ,0.02 ,-0.01 ,-50.00% ,300 ,344 ,44.53% 
AAPL260211P00255000   ,2/10/2026  1:57 PM ,255   ,0.02 ,0.01 ,0.02 ,-0.03 ,-60.00% ,80 ,857 ,39.84% 
AAPL260211P00257500   ,2/10/2026  2:00 PM ,257.5   ,0.02 ,0.02 ,0.03 ,-0.04 ,-66.67% ,261 ,813 ,36.72% 
AAPL260211P00260000   ,2/10/2026  2:09 PM ,260   ,0.03 ,0.02 ,0.03 ,-0.04 ,-57.14% ,902 ,753 ,31.64% 
AAPL260211P00262500   ,2/10/2026  2:13 PM ,262.5   ,0.04 ,0.04 ,0.05 ,-0.07 ,-63.64% ,545 ,601 ,28.52% 
AAPL260211P00265000   ,2/10/2026  2:18 PM ,265   ,0.07 ,0.06 ,0.07 ,-0.11 ,-61.11% ,"1,471 ","1,482 ",24.41% 
AAPL260211P00267500   ,2/10/2026  2:14 PM ,267.5   ,0.14 ,0.13 ,0.14 ,-0.20 ,-58.82% ,"3,272 ","1,573 ",21.39% 
AAPL260211P00270000   ,2/10/2026  2:17 PM ,270   ,0.36 ,0.37 ,0.38 ,-0.26 ,-41.94% ,"11,610 ","3,077 ",19.92% 
AAPL260211P00272500   ,2/10/2026  2:18 PM ,272.5   ,0.96 ,0.96 ,0.98 ,-0.26 ,-21.31% ,"15,160 ","9,133 ",18.80% 
AAPL260211P00275000   ,2/10/2026  2:17 PM ,275   ,2.05 ,2.07 ,2.10 ,-0.06 ,-2.84% ,"7,467 ","1,004 ",16.94% 
AAPL260211P00277500   ,2/10/2026  2:09 PM ,277.5   ,3.98 ,3.65 ,3.95 ,0.33 ,9.04% ,977 ,"1,159 ",15.48% 
AAPL260211P00280000   ,2/10/2026  12:20 PM ,280   ,6.95 ,5.95 ,6.40 ,1.19 ,20.66% ,112 ,341 ,20.70% 
AAPL260211P00282500   ,2/10/2026  12:28 PM ,282.5   ,9.42 ,8.30 ,8.85 ,1.47 ,18.49% ,12 ,191 ,24.32% 
AAPL260211P00285000   ,2/10/2026  1:20 PM ,285   ,11.25 ,10.15 ,11.95 ,-0.75 ,-6.25% ,6 ,67 ,49.02% 
AAPL260211P00287500   ,2/10/2026  10:43 AM ,287.5   ,13.17 ,12.75 ,14.60 ,-1.35 ,-9.30% ,2 ,53 ,59.62% 
AAPL260211P00290000   ,2/10/2026  1:53 PM ,290   ,16.40 ,14.85 ,17.35 ,3.79 ,30.06% ,3 ,0 ,72.34% 
AAPL260211P00292500   ,2/6/2026  12:30 PM ,292.5   ,14.10 ,17.35 ,19.60 ,0.00 ,0.00% ,32 ,0 ,73.49% 
AAPL260211P00300000   ,2/10/2026  12:40 PM ,300   ,26.82 ,24.80 ,27.35 ,-6.18 ,-18.73% ,2 ,1 ,99.51% 
AAPL260211P00302500   ,2/6/2026  10:15 AM ,302.5   ,23.81 ,27.15 ,29.90 ,0.00 ,0.00% ,20 ,0 ,107.13% 
AAPL260211P00320000   ,2/5/2026  9:38 AM ,320   ,46.55 ,44.70 ,47.35 ,0.00 ,0.00% ,- ,1 ,146.68% 
