Contract Name,Last Trade Date (EST),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AAPL260211C00282500   ,2/10/2026  2:16 PM ,282.5   ,0.05 ,0.05 ,0.06 ,-0.14 ,-73.68% ,"4,283 ","1,877 ",22.95% 
AAPL260211C00285000   ,2/10/2026  2:11 PM ,285   ,0.02 ,0.02 ,0.03 ,-0.08 ,-80.00% ,"6,162 ","3,007 ",25.39% 
AAPL260211C00287500   ,2/10/2026  2:06 PM ,287.5   ,0.01 ,0.01 ,0.02 ,-0.06 ,-85.71% ,"1,309 ",842 ,28.52% 
AAPL260211C00290000   ,2/10/2026  2:12 PM ,290   ,0.01 ,0.00 ,0.01 ,-0.02 ,-66.67% ,259 ,"1,436 ",30.47% 
AAPL260211C00292500   ,2/10/2026  10:45 AM ,292.5   ,0.01 ,0.00 ,0.01 ,-0.02 ,-66.67% ,29 ,997 ,34.38% 
AAPL260211C00295000   ,2/10/2026  11:13 AM ,295   ,0.01 ,0.00 ,0.01 ,0.00 ,0.00% ,25 ,885 ,38.28% 
AAPL260211C00297500   ,2/10/2026  9:41 AM ,297.5   ,0.01 ,0.00 ,0.01 ,0.00 ,0.00% ,5 ,160 ,42.19% 
AAPL260211C00300000   ,2/10/2026  9:30 AM ,300   ,0.01 ,0.00 ,0.01 ,0.00 ,0.00% ,1 ,"2,183 ",45.31% 
AAPL260211C00302500   ,2/9/2026  9:30 AM ,302.5   ,0.01 ,0.00 ,0.01 ,0.00 ,0.00% ,3 ,119 ,49.22% 
AAPL260211C00305000   ,2/9/2026  3:57 PM ,305   ,0.01 ,0.00 ,0.01 ,0.00 ,0.00% ,25 ,238 ,50.00% 
AAPL260211C00310000   ,2/9/2026  2:10 PM ,310   ,0.01 ,0.00 ,0.01 ,0.00 ,0.00% ,1 ,64 ,56.25% 
AAPL260211C00315000   ,2/10/2026  11:38 AM ,315   ,0.01 ,0.00 ,0.01 ,0.00 ,0.00% ,2 ,4 ,62.50% 
AAPL260211C00320000   ,2/6/2026  2:21 PM ,320   ,0.01 ,0.00 ,0.01 ,0.00 ,0.00% ,1 ,2 ,68.75% 
